,Visitor,Browser
0,9352881518669559847,Chrome
1,4906813510055416703,Chrome
2,4091646801425702074,Chrome
3,5401793363522001290,Opera Mini
4,4440833520759626888,Chrome
5,4117892917492985550,Safari
6,9331539779363444493,Chrome
7,2950916692439446426,Chrome
8,1063735344182861016,Edge
9,5853608616657906344,Chrome
10,5438610451146798739,Chrome
11,7643887627832413677,Chrome
12,7056159303429818352,Chrome
13,822063744245507195,Chrome
14,1374604189467793731,Internet Explorer
15,4756908582791219126,Firefox
16,1173779748805978180,Chrome
17,9327945157034205617,Chrome
18,9589013743573470520,Chrome
19,4608488159447817890,Firefox
20,7735632598950388028,Firefox
21,88365924577309875,Chrome
22,9779472934360014948,Chrome
23,1776624194502248666,Opera
24,2368892358493067258,Opera Mini
25,8538840381614433739,Chrome
26,4539075962078557433,Chrome
27,6293521382621721260,Safari
28,3587831719623381110,Chrome
29,8806838416257737812,Chrome
30,9118617346353013653,Chrome
31,1929589675490746411,Safari
32,323891610046087205,Safari
33,8366376451905621716,Chrome
34,2985705967172353035,Firefox
35,4282786944369384085,Chrome
36,8083825332678264063,Chrome
37,5653671674049702304,Chrome
38,120714482257399868,Chrome
39,2191765872467175090,Chrome
40,555053591858921682,Chrome
41,5629695313608487382,Chrome
42,1262183928092819619,Internet Explorer
43,1040547392961842398,Safari
44,6221409909343700635,Chrome
45,7472162889375340006,Opera
46,4052816472022833352,Chrome
47,3355344663083323584,Chrome
48,8995520596715736847,Chrome
49,4122019587432198754,Chrome
50,6201304598556984469,Internet Explorer
51,730805939024984980,Chrome
52,2158975727234828989,Chrome
53,646533055727365625,Chrome
54,6900320401243091630,Chrome
55,755776427575051826,Internet Explorer
56,622895405176538917,Edge
57,8471086296054386485,Firefox
58,9843613836189950,Chrome
59,5247754110323490215,Chrome
60,7897970222186534203,Opera Mini
61,24646122811662899,Chrome
62,3791271754216744319,Safari
63,2541176496122092341,Safari
64,8845831664470690746,Chrome
65,865377324482957735,Chrome
66,9611860945699564398,Internet Explorer
67,9795647085299734697,Chrome
68,946177451654593340,Chrome
69,721277424657757609,Chrome
70,208302996513687856,Safari
71,6105929501640266027,Opera
72,4771951407861681633,Chrome
73,1945760488445346804,Chrome
74,9259907153845428595,Chrome
75,4650411712377577737,Safari
76,3457299323226954808,Chrome
77,7094548225107432762,Chrome
78,1964053428716034318,Chrome
79,8237374295463930515,Chrome
80,6452107274434424453,Chrome
81,3718315692317633666,Chrome
82,935186495760214231,Chrome
83,7616261565152295058,Chrome
84,7445015089516336123,Chrome
85,7561481376818101310,Chrome
86,1993148752933964248,Chrome
87,6743798200084752709,Chrome
88,309995957778420412,Chrome
89,392181769944648555,Safari
90,4071185377684942115,Chrome
91,4379257538094195531,Internet Explorer
92,9071619884877447912,Firefox
93,8214018528396496728,Chrome
94,808988642961212253,Chrome
95,1237549515816351857,Safari
96,9258747647026121387,Safari
97,2469277870332894172,Chrome
98,205676961693672914,Chrome
99,1834466420034020176,Chrome
100,228931636295793566,Chrome
101,57245574581458235,Chrome
102,6269773088347700062,Chrome
103,79449493029016048,Chrome
104,1052038835941425611,Safari
105,9769308372096781096,Safari
106,7433447257540401475,Chrome
107,2758037644411038608,Chrome
108,6352995646853166099,Safari
109,5723574823521200801,Safari
110,3778472960790478980,Chrome
111,4408652597975251627,Chrome
112,7455759264298795247,Chrome
113,6848175354811209774,Firefox
114,729030246909314656,Chrome
115,3755487679365530828,UC Browser
116,5713925936396698483,Chrome
117,4485205845368112913,Chrome
118,675458867972682212,Chrome
119,5382065616933194162,Chrome
120,1695980294021057203,Chrome
121,3394303494258958464,Firefox
122,9716598672686664647,Chrome
123,7525764386893756627,Chrome
124,2591815444994115632,Chrome
125,2077032242829112146,Chrome
126,7010603974165866066,Safari
127,99887489018690893,Chrome
128,9294574527737542530,Chrome
129,6279589606273293457,Safari
130,687663730388248407,Safari
131,4005265983766636582,Safari
132,48884003954150827,Chrome
133,2908397099723797349,Opera
134,3439948293653521974,Chrome
135,222446933593541979,Chrome
136,1235242196175467,Chrome
137,5481041524476185997,Safari
138,153183134106113775,Chrome
139,1488907841885964107,Chrome
140,4282786944369384085,Chrome
141,7271016522373793799,Chrome
142,4615642029898710744,Chrome
143,3582517050902889949,Chrome
144,9850362340214222729,Firefox
145,27941901991373009,Chrome
146,9983925595227894609,Safari
147,9760616557383963788,Chrome
148,5674914924461593429,Chrome
149,4989125742297097,Chrome
150,1021749473253679728,Chrome
151,8636696340148707038,Chrome
152,7240934502513930021,Chrome
153,1622931642732804920,Firefox
154,2010269293659987433,Chrome
155,9899429855303665182,Chrome
156,6309576576206561084,Chrome
157,3154672050045365873,Chrome
158,8036376722929429993,Chrome
159,5052319240330242618,Chrome
160,707186240489874516,Chrome
161,7754386635301574450,Safari
162,5873643604132707622,Chrome
163,4943930622482320213,Chrome
164,5359893564509220982,Chrome
165,6900320401243091630,Chrome
166,626005463838351148,Chrome
167,3855758759483980367,Chrome
168,2700578986092562661,Chrome
169,9823381657766083471,Chrome
170,704840765665256106,Safari
171,4357611082516254612,Chrome
172,5185877576631542964,Chrome
173,1432087685224779549,Chrome
174,7806903929720858323,Safari
175,794553752406434696,Firefox
176,2549427560766444228,Firefox
177,7679870120403327282,Chrome
178,3539590937612647637,Firefox
179,5185397807193751493,Chrome
180,3879794641337501336,Chrome
181,3406868965125802355,Chrome
182,4984268691875320405,Chrome
183,7804713171456421527,Chrome
184,5063810698475273,Chrome
185,7603077532166049962,Safari
186,3677570891901635763,Chrome
187,6469445635757729902,Chrome
188,8804672323751113689,Chrome
189,2529619970233929392,Chrome
190,7793036223309378247,Chrome
191,2920144771599730464,Internet Explorer
192,6003667518487059642,Chrome
193,2887475680116825567,Chrome
194,7807052583502115547,Chrome
195,6195450881255133329,Chrome
196,4223343663586070024,Chrome
197,4823595352351,Chrome
198,131483875816694499,Chrome
199,5091177757062991929,Safari
200,2555077733750540702,Chrome
201,7603678224459652678,Chrome
202,9582083856695663419,Chrome
203,7898288098285242884,Safari
204,7227623862759982367,Safari
205,45636330712669885,Chrome
206,4037657509458848114,Firefox
207,1892918635849947004,Chrome
208,1921710476087038226,Safari
209,3197336235946266508,Chrome
210,876883925928649,Chrome
211,1347660202200724214,Chrome
212,6775021609274146566,Chrome
213,1168375680192876170,Chrome
214,2639237177025142293,Safari
215,588642785369152329,Edge
216,1598552523183484751,Chrome
217,9727100803849442498,Safari
218,3509897580183383483,Chrome
219,244218457345054415,Internet Explorer
220,3033473884646594847,Chrome
221,9071619884877447912,Firefox
222,4920819613222902433,Chrome
223,8108629841161830955,Chrome
224,2934971109257877770,Chrome
225,240224280805012248,Chrome
226,1245450731234709452,Chrome
227,9253296980783321687,Chrome
228,3911487327403453729,Chrome
229,863519862380131766,Safari
230,8090734532633109146,Chrome
231,6555591514544557569,Safari
232,2840811031858502765,Chrome
233,2938103371724034229,Chrome
234,6598755232624957091,Safari
235,7742656196249490248,Firefox
236,7078347410395732302,Chrome
237,1668223425072642164,Safari
238,1488907841885964107,Chrome
239,2677653854158419207,Chrome
240,2544838455343919767,Chrome
241,9494655068931278935,Safari
242,2089036751675085684,Chrome
243,242313713977965547,Chrome
244,2670737293266162314,Chrome
245,2950782579504252008,Chrome
246,9832491802666586366,Chrome
247,3144899177301266946,Chrome
248,4918249696680167505,Chrome
249,33318414110300840,Edge
250,1236491542874718921,Chrome
251,5733292513891801099,Chrome
252,8022105891543492197,Chrome
253,5719253377914761160,Safari
254,5264762026426452446,Internet Explorer
255,7742656196249490248,Firefox
256,2663075133204182755,Chrome
257,6822853697687694976,Chrome
258,5766267630361702290,Internet Explorer
259,614222232035216398,Internet Explorer
260,679476391795001433,Chrome
261,7272695300670361187,Firefox
262,7518136018204296430,Chrome
263,8414150480508312225,Chrome
264,441799503734487588,Edge
265,5096483816034177413,Chrome
266,6141439970117800685,Chrome
267,2920365882412863503,Internet Explorer
268,8340606507460842262,Chrome
269,8888129127871594933,Chrome
270,6768972033101151779,Chrome
271,102502082058056463,Chrome
272,8665062043942119987,Chrome
273,9750969847874747398,Chrome
274,4306326904882534027,Firefox
275,4135766491519238142,Chrome
276,3635909026439693721,Chrome
277,1343734392967404414,Chrome
278,4026527762563821964,Chrome
279,2870867959833302702,Safari
280,8271286037004009767,Chrome
281,446530510370530627,Chrome
282,5234573939863002909,Chrome
283,1377003282807989990,Chrome
284,8264148418525400733,Chrome
285,7294619260233015413,Chrome
286,652272238665282220,Internet Explorer
287,6923753379562446151,Chrome
288,6808117636204332550,Safari
289,1245300529932441079,Safari
