date,v2ProductCategory,count
2016-11-01,Apparel,1280
2016-11-01,Backpacks,25
2016-11-01,Bags,387
2016-11-01,Bottles,8
2016-11-01,Drinkware,283
2016-11-01,Electronics,82
2016-11-01,Gift Cards,20
2016-11-01,Headgear,12
2016-11-01,Accessories/,2902
2016-11-01,Accessories/Fun/,2790
2016-11-01,Accessories/Housewares/,933
2016-11-01,Accessories/Pet/,284
2016-11-01,Accessories/Sports & Fitness/,230
2016-11-01,Accessories/Stickers/,780
2016-11-01,Apparel/,5396
2016-11-01,Apparel/Headgear/,1851
2016-11-01,Apparel/Kid's/,300
2016-11-01,Apparel/Kid's/Kid's-Infant/,565
2016-11-01,Apparel/Kid's/Kid's-Toddler/,521
2016-11-01,Apparel/Kid's/Kids-Youth/,745
2016-11-01,Apparel/Men's/,2113
2016-11-01,Apparel/Men's/Men's-Outerwear/,3452
2016-11-01,Apparel/Men's/Men's-Performance Wear/,1157
2016-11-01,Apparel/Men's/Men's-T-Shirts/,6700
2016-11-01,Apparel/Women's/,1171
2016-11-01,Apparel/Women's/Women's-Outerwear/,1045
2016-11-01,Apparel/Women's/Women's-Performance Wear/,532
2016-11-01,Apparel/Women's/Women's-T-Shirts/,3116
2016-11-01,Bags/,2932
2016-11-01,Bags/Backpacks/,1861
2016-11-01,Bags/More Bags/,826
2016-11-01,Bags/Shopping and Totes/,521
2016-11-01,Drinkware/,3592
2016-11-01,Drinkware/Mugs and Cups/,722
2016-11-01,Drinkware/Water Bottles and Tumblers/,2014
2016-11-01,Electronics/,3468
2016-11-01,Electronics/Audio/,1539
2016-11-01,Electronics/Electronics Accessories/,1193
2016-11-01,Electronics/Flashlights/,223
2016-11-01,Electronics/Power/,539
2016-11-01,Gift Cards/,118
2016-11-01,Office/,3439
2016-11-01,Office/Notebooks & Journals/,1761
2016-11-01,Office/Office Other/,246
2016-11-01,Office/Writing Instruments/,1602
2016-11-01,Shop by Brand/,475
2016-11-01,Shop by Brand/Android/,1552
2016-11-01,Shop by Brand/Google/,3063
2016-11-01,Shop by Brand/YouTube/,3635
2016-11-01,Lifestyle,176
2016-11-01,Lifestyle/,60
2016-11-01,More Bags,12
2016-11-01,Office,279
2016-11-01,Waze,2
2016-11-02,Accessories,25
2016-11-02,Apparel,964
2016-11-02,Backpacks,31
2016-11-02,Bags,219
2016-11-02,Bottles,20
2016-11-02,Drinkware,351
2016-11-02,Electronics,159
2016-11-02,Headgear,8
2016-11-02,Accessories/,4135
2016-11-02,Accessories/Fun/,3584
2016-11-02,Accessories/Housewares/,916
2016-11-02,Accessories/Pet/,337
2016-11-02,Accessories/Sports & Fitness/,405
2016-11-02,Accessories/Stickers/,887
2016-11-02,Apparel/,5445
2016-11-02,Apparel/Headgear/,1842
2016-11-02,Apparel/Kid's/,396
2016-11-02,Apparel/Kid's/Kid's-Infant/,1044
2016-11-02,Apparel/Kid's/Kid's-Toddler/,719
2016-11-02,Apparel/Kid's/Kids-Youth/,764
2016-11-02,Apparel/Men's/,2080
2016-11-02,Apparel/Men's/Men's-Outerwear/,4074
2016-11-02,Apparel/Men's/Men's-Performance Wear/,1311
2016-11-02,Apparel/Men's/Men's-T-Shirts/,7084
2016-11-02,Apparel/Women's/,955
2016-11-02,Apparel/Women's/Women's-Outerwear/,1695
2016-11-02,Apparel/Women's/Women's-Performance Wear/,773
2016-11-02,Apparel/Women's/Women's-T-Shirts/,2367
2016-11-02,Bags/,3543
2016-11-02,Bags/Backpacks/,2146
2016-11-02,Bags/More Bags/,1394
2016-11-02,Bags/Shopping and Totes/,783
2016-11-02,Drinkware/,3809
2016-11-02,Drinkware/Mugs and Cups/,744
2016-11-02,Drinkware/Water Bottles and Tumblers/,2959
2016-11-02,Electronics/,3648
2016-11-02,Electronics/Audio/,2255
2016-11-02,Electronics/Electronics Accessories/,1417
2016-11-02,Electronics/Flashlights/,403
2016-11-02,Electronics/Power/,1104
2016-11-02,Gift Cards/,110
2016-11-02,Office/,4752
2016-11-02,Office/Notebooks & Journals/,3697
2016-11-02,Office/Office Other/,401
2016-11-02,Office/Writing Instruments/,2515
2016-11-02,Shop by Brand/,861
2016-11-02,Shop by Brand/Android/,1873
2016-11-02,Shop by Brand/Google/,3525
2016-11-02,Shop by Brand/YouTube/,5803
2016-11-02,Lifestyle,78
2016-11-02,Lifestyle/,12
2016-11-02,Notebooks & Journals,4
2016-11-02,Office,581
2016-11-02,Waze,4
2016-11-03,Accessories,13
2016-11-03,Apparel,1039
2016-11-03,Backpacks,9
2016-11-03,Bags,192
2016-11-03,Bottles,13
2016-11-03,Drinkware,374
2016-11-03,Electronics,130
2016-11-03,Headgear,52
2016-11-03,Accessories/,3176
2016-11-03,Accessories/Fun/,3724
2016-11-03,Accessories/Housewares/,1028
2016-11-03,Accessories/Pet/,365
2016-11-03,Accessories/Sports & Fitness/,320
2016-11-03,Accessories/Stickers/,1013
2016-11-03,Apparel/,7960
2016-11-03,Apparel/Headgear/,1534
